run_id,condition,task_id,strict_success,normalized_success,wrapper_normalized
T06-r2-parallel,parallel,T06,True,True,False
T06-r2-single,single,T06,True,True,False
T06-r2-sage_single,sage_single,T06,True,True,False
T06-r2-sequential,sequential,T06,True,True,False
T06-r2-hierarchical_all_skills,hierarchical_all_skills,T06,True,True,False
T06-r2-sage_all_skills,sage_all_skills,T06,True,True,False
T04-r1-single,single,T04,True,True,False
T04-r1-sequential,sequential,T04,True,True,False
T04-r1-hierarchical,hierarchical,T04,False,False,False
T04-r1-reflexive,reflexive,T04,True,True,False
T04-r1-parallel,parallel,T04,True,True,False
T04-r1-sage_single,sage_single,T04,True,True,False
T04-r1-hierarchical_all_skills,hierarchical_all_skills,T04,True,True,False
T04-r1-sage_all_skills,sage_all_skills,T04,True,True,False
T04-r1-sage,sage,T04,True,True,False
T12-r2-parallel,parallel,T12,False,True,True
T12-r2-hierarchical_all_skills,hierarchical_all_skills,T12,False,True,True
T12-r2-single,single,T12,False,True,True
T12-r2-sage,sage,T12,True,True,False
T12-r2-sequential,sequential,T12,False,True,True
T12-r2-hierarchical,hierarchical,T12,False,True,True
T12-r2-sage_all_skills,sage_all_skills,T12,False,False,False
T12-r2-reflexive,reflexive,T12,False,True,True
T12-r2-sage_single,sage_single,T12,True,True,False
T03-r1-sequential,sequential,T03,True,True,False
T03-r1-hierarchical,hierarchical,T03,True,True,False
T03-r1-sage,sage,T03,True,True,False
T03-r1-parallel,parallel,T03,True,True,False
T03-r1-sage_single,sage_single,T03,True,True,False
T03-r1-reflexive,reflexive,T03,True,True,False
T03-r1-single,single,T03,False,False,False
T03-r1-hierarchical_all_skills,hierarchical_all_skills,T03,False,False,False
T03-r1-sage_all_skills,sage_all_skills,T03,True,True,False
T06-r1-sage_all_skills,sage_all_skills,T06,True,True,False
T06-r1-hierarchical_all_skills,hierarchical_all_skills,T06,True,True,False
T06-r1-parallel,parallel,T06,True,True,False
T06-r1-sage_single,sage_single,T06,True,True,False
T06-r1-reflexive,reflexive,T06,True,True,False
T06-r1-single,single,T06,True,True,False
T06-r1-hierarchical,hierarchical,T06,True,True,False
T06-r1-sage,sage,T06,True,True,False
T06-r1-sequential,sequential,T06,True,True,False
T11-r2-sage_all_skills,sage_all_skills,T11,True,True,False
T11-r2-hierarchical_all_skills,hierarchical_all_skills,T11,True,True,False
T11-r2-sage,sage,T11,True,True,False
T11-r2-sequential,sequential,T11,False,True,True
T11-r2-reflexive,reflexive,T11,False,True,True
T11-r2-single,single,T11,False,True,True
T11-r2-parallel,parallel,T11,True,True,False
T11-r2-sage_single,sage_single,T11,True,True,False
T11-r2-hierarchical,hierarchical,T11,False,True,True
T05-r1-parallel,parallel,T05,False,False,False
T05-r1-hierarchical_all_skills,hierarchical_all_skills,T05,True,True,False
T05-r1-sequential,sequential,T05,True,True,False
T05-r1-single,single,T05,True,True,False
T05-r1-hierarchical,hierarchical,T05,True,True,False
T05-r1-sage_single,sage_single,T05,True,True,False
T05-r1-sage,sage,T05,True,True,False
T05-r1-reflexive,reflexive,T05,True,True,False
T05-r1-sage_all_skills,sage_all_skills,T05,True,True,False
T11-r1-sage_single,sage_single,T11,False,False,False
T11-r1-hierarchical,hierarchical,T11,False,True,True
T11-r1-hierarchical_all_skills,hierarchical_all_skills,T11,False,True,True
T11-r1-parallel,parallel,T11,False,True,True
T11-r1-reflexive,reflexive,T11,False,True,True
T11-r1-sage_all_skills,sage_all_skills,T11,True,True,False
T11-r1-sage,sage,T11,True,True,False
T11-r1-single,single,T11,False,True,True
T11-r1-sequential,sequential,T11,False,True,True
T09-r1-hierarchical_all_skills,hierarchical_all_skills,T09,True,True,False
T09-r1-sequential,sequential,T09,True,True,False
T09-r1-reflexive,reflexive,T09,True,True,False
T09-r1-sage,sage,T09,True,True,False
T09-r1-sage_single,sage_single,T09,True,True,False
T09-r1-sage_all_skills,sage_all_skills,T09,True,True,False
T09-r1-single,single,T09,True,True,False
T09-r1-hierarchical,hierarchical,T09,True,True,False
T09-r1-parallel,parallel,T09,True,True,False
T07-r1-sage_all_skills,sage_all_skills,T07,True,True,False
T07-r1-parallel,parallel,T07,True,True,False
T07-r1-sage,sage,T07,True,True,False
T07-r1-sequential,sequential,T07,True,True,False
T07-r1-reflexive,reflexive,T07,True,True,False
T07-r1-single,single,T07,True,True,False
T07-r1-hierarchical,hierarchical,T07,True,True,False
T07-r1-hierarchical_all_skills,hierarchical_all_skills,T07,True,True,False
T07-r1-sage_single,sage_single,T07,True,True,False
T10-r1-sage_single,sage_single,T10,True,True,False
T10-r1-reflexive,reflexive,T10,True,True,False
T10-r1-sage_all_skills,sage_all_skills,T10,True,True,False
T10-r1-single,single,T10,True,True,False
T10-r1-sage,sage,T10,True,True,False
T10-r1-hierarchical_all_skills,hierarchical_all_skills,T10,True,True,False
T10-r1-hierarchical,hierarchical,T10,True,True,False
T10-r1-sequential,sequential,T10,True,True,False
T10-r1-parallel,parallel,T10,True,True,False
T09-r2-parallel,parallel,T09,True,True,False
T09-r2-sage_single,sage_single,T09,True,True,False
T09-r2-single,single,T09,True,True,False
T09-r2-hierarchical,hierarchical,T09,True,True,False
T09-r2-sage,sage,T09,True,True,False
T09-r2-sage_all_skills,sage_all_skills,T09,True,True,False
T09-r2-hierarchical_all_skills,hierarchical_all_skills,T09,True,True,False
T09-r2-reflexive,reflexive,T09,True,True,False
T09-r2-sequential,sequential,T09,True,True,False
T01-r1-single,single,T01,True,True,False
T01-r1-hierarchical_all_skills,hierarchical_all_skills,T01,True,True,False
T01-r1-sage_all_skills,sage_all_skills,T01,True,True,False
T01-r1-reflexive,reflexive,T01,True,True,False
T01-r1-hierarchical,hierarchical,T01,True,True,False
T01-r1-sage_single,sage_single,T01,True,True,False
T01-r1-parallel,parallel,T01,True,True,False
T01-r1-sequential,sequential,T01,True,True,False
T01-r1-sage,sage,T01,True,True,False
T07-r2-reflexive,reflexive,T07,True,True,False
T07-r2-parallel,parallel,T07,True,True,False
T07-r2-sequential,sequential,T07,True,True,False
T07-r2-single,single,T07,True,True,False
T07-r2-hierarchical_all_skills,hierarchical_all_skills,T07,True,True,False
T07-r2-sage_single,sage_single,T07,True,True,False
T07-r2-sage_all_skills,sage_all_skills,T07,True,True,False
T07-r2-hierarchical,hierarchical,T07,True,True,False
T07-r2-sage,sage,T07,True,True,False
T12-r1-reflexive,reflexive,T12,False,True,True
T12-r1-hierarchical,hierarchical,T12,False,True,True
T12-r1-single,single,T12,False,True,True
T12-r1-parallel,parallel,T12,False,True,True
T12-r1-sage_single,sage_single,T12,False,False,False
T12-r1-sage,sage,T12,True,True,False
T12-r1-sequential,sequential,T12,False,True,True
T12-r1-hierarchical_all_skills,hierarchical_all_skills,T12,True,True,False
T12-r1-sage_all_skills,sage_all_skills,T12,True,True,False
T03-r2-sage_all_skills,sage_all_skills,T03,True,True,False
T03-r2-hierarchical,hierarchical,T03,False,False,False
T03-r2-sequential,sequential,T03,True,True,False
T03-r2-sage_single,sage_single,T03,True,True,False
T03-r2-hierarchical_all_skills,hierarchical_all_skills,T03,False,False,False
T03-r2-reflexive,reflexive,T03,True,True,False
T03-r2-parallel,parallel,T03,True,True,False
T03-r2-sage,sage,T03,True,True,False
T03-r2-single,single,T03,True,True,False
T08-r2-reflexive,reflexive,T08,True,True,False
T08-r2-hierarchical_all_skills,hierarchical_all_skills,T08,True,True,False
T08-r2-single,single,T08,True,True,False
T08-r2-sage_all_skills,sage_all_skills,T08,True,True,False
T08-r2-sage,sage,T08,True,True,False
T08-r2-sequential,sequential,T08,True,True,False
T08-r2-parallel,parallel,T08,True,True,False
T08-r2-hierarchical,hierarchical,T08,True,True,False
T08-r2-sage_single,sage_single,T08,True,True,False
T02-r2-hierarchical_all_skills,hierarchical_all_skills,T02,True,True,False
T02-r2-parallel,parallel,T02,True,True,False
T02-r2-sage_single,sage_single,T02,True,True,False
T02-r2-hierarchical,hierarchical,T02,True,True,False
T02-r2-sage_all_skills,sage_all_skills,T02,True,True,False
T02-r2-single,single,T02,True,True,False
T02-r2-sequential,sequential,T02,True,True,False
T02-r2-reflexive,reflexive,T02,True,True,False
T02-r2-sage,sage,T02,True,True,False
